ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note										
ECC001	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	amoxicillin	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	strong												
ECC002	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	amoxicillin-clavulanic acid	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	moderate	lacks evidence of the degree to which MIC is affected											
ECC003	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	ampicillin	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	strong												
ECC004	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	-	first-generation cephalosporin	wildtype	R	not applicable	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0000012 functional complementation evidence"	strong												
ECC005	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	-	second-generation cephalosporin	wildtype	R	not applicable	"Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	strong												
ECC006	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	cefuroxime	-	wildtype	R	not applicable	"Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	ECO:0001103 natural variation mutant evidence	strong												
ECC007	s__Enterobacter hormaechei	blaACT	blaACT	-	-	-	-	-	Gene presence detected	core	cefoxitin	-	wildtype	R	not applicable	"Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	ECO:0001103 natural variation mutant evidence	strong												
ECC008	s__Enterobacter hormaechei	oqxA	oqxA	-	-	-	-	-	Gene presence detected	core	-	fluoroquinolone antibiotic	wildtype	S	not applicable	EUCAST v15.0 (2025)	25801572	ECO:0001103 natural variation mutant evidence	strong												
ECC009	s__Enterobacter hormaechei	oqxB	oqxB	-	-	-	-	-	Gene presence detected	core	-	fluoroquinolone antibiotic	wildtype	S	not applicable	EUCAST v15.0 (2025)	25801572	ECO:0001103 natural variation mutant evidence	strong												
ECC010	s__Enterobacter hormaechei	fosA	fosA	-	-	-	-	-	Gene presence detected	core	fosfomycin	-	wildtype		not available	EUCAST v15.0 (2025)	28851843	ECO:0001103 natural variation mutant evidence	weak	low clinical relevance	"There are no clinical breakpoints established for fosfomycin in Enterobacterales other than E. coli, as there is a lack of clinical evidence. The ECOFF has not yet been defined due the lack of  enough MIC data determined with the reference method  The breakpoint for E. coli (UTI only) is 8 mg/L. Enterobacter hormaechei carrying this gene have MICs in the range 8-128 mg/L."										
ECC011	s__Enterobacter roggenkampii	blaMIR	blaMIR	-	-	-	-	-	Gene presence detected	core	amoxicillin	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	strong												
ECC012	s__Enterobacter roggenkampii	blaMIR	blaMIR	-	-	-	-	-	Gene presence detected	core	amoxicillin-clavulanic acid	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected											
ECC013	s__Enterobacter roggenkampii	blaMIR	blaMIR	-	-	-	-	-	Gene presence detected	core	ampicillin	-	wildtype	R	MIC >=8 mg/L	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence"	strong												
ECC014	s__Enterobacter roggenkampii	blaMIR	blaMIR	-	-	-	-	-	Gene presence detected	core	-	first-generation cephalosporin	wildtype	R	not applicable	"EUCAST v15.0 (2025). Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	ECO:0001103 natural variation mutant evidence	strong												
ECC015	s__Enterobacter roggenkampii	blaMIR	blaMIR	-	-	-	-	-	Gene presence detected	core	cefuroxime	-	wildtype	R	not applicable	"Expected resistant phenotypes v 1.2 (13 January, 2023)."	35934231	"ECO:0001103 natural variation mutant evidence, ECO:0000012 functional complementation evidence"	strong												
