ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note
ECO0001	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	S	not applicable	EUCAST v15.0 (2025)	"679,562,312,821,459"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0002	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	ampicillin	-	wildtype	S	MIC <=8 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,460"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0003	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	amoxicillin	-	wildtype	S	MIC <=8 mg/L	EUCAST v15.0 (2025)	6795623	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0004	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	piperacillin	-	wildtype	S	MIC <=8 mg/L	EUCAST v15.0 (2025)	6795623	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0005	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	-	first-generation cephalosporin	wildtype	S	not applicable	ECOFF (May 2025)	"679,562,312,821,463"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0006	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefazolin	-	wildtype	I	MIC <=4 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,464"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0007	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	-	second-generation cephalosporin	wildtype	S	not applicable	EUCAST v15.0 (2025)	"679,562,312,821,465"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0008	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefoxitin	-	wildtype	S	MIC <=16 mg/L	ECOFF (May 2025)	"679,562,312,821,466"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0009	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefuroxime	-	wildtype	S	MIC <=8 mg/L	EUCAST v15.0 (2025)	6795623	ECO:0001103 natural variation mutant evidence	strong		"For cefuroxime oral (S <=8 mg/L ; R >8 mg/L). Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0010	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefuroxime	-	wildtype	I	MIC <=8 mg/L	EUCAST v15.0 (2025)	6795623	ECO:0001103 natural variation mutant evidence	strong		"For cefuroxime IV (S <=0.001 mg/L ; R >8 mg/L). Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0011	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefotaxime	-	wildtype	S	MIC <=1 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,467"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0012	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	-	third-generation cephalosporin	wildtype	S	not applicable	EUCAST v15.0 (2025)	"679,562,312,821,468"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0013	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	ceftriaxone	-	wildtype	S	MIC <=1 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,469"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0014	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	ceftazidime	-	wildtype	S	MIC <=1 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,470"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0015	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	cefixime	-	wildtype	S	MIC <=1 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,471"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0016	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	-	carbapenem	wildtype	S	not applicable	EUCAST v15.0 (2025)	"679,562,312,821,472"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0017	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	imipenem	-	wildtype	S	MIC <=2 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,473"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0018	s__Escherichia coli	blaEC	blaEC	-	-	NF000185.2	ARO:3005406	-	Gene presence detected	core	aztreonam	-	wildtype	S	MIC <=1 mg/L	EUCAST v15.0 (2025)	"679,562,312,821,474"	ECO:0001103 natural variation mutant evidence	strong		"Core gene, not inducing resistance in normal conditions due to low expression level. Very common in E. coli (96.5%, n=199920/207180), including all Clermont clades and Shigella spp; based on Enterobase as at October 2024."
ECO0019	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	ampicillin	-	nonwildtype	R	MIC >8 mg/L	EUCAST v15.0 (2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 4 to >128 mg/L (PMID: 15215122)
ECO0020	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	amoxicillin	-	nonwildtype	R	MIC >8 mg/L	EUCAST v15.0 (2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 4 to >128 mg/L (PMID: 15215122)
ECO0021	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	cefotaxime	-	nonwildtype	R	MIC >2 mg/L	EUCAST v15.0 (2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.06 to 8 mg/L (PMID: 15215122)
ECO0022	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	ceftazidime	-	nonwildtype	R	MIC >4 mg/L	EUCAST v15.0 (2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.06 to 16 mg/L (PMID: 15215122)
ECO0023	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	cefoxitin	-	nonwildtype	R	MIC >16 mg/L	ECOFF (May 2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 8 to >128 mg/L (PMID: 15215122)
ECO0024	s__Escherichia coli	blaEC-2	-	-	BAC99094.1	-	-	-	Gene presence detected	acquired	aztreonam	-	nonwildtype	R	MIC >4 mg/L	EUCAST v15.0 (2025)	15215122	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.06 to 16 mg/L (PMID: 15215122)
ECO0025	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	amoxicillin	-	nonwildtype	R	MIC >8 mg/L	EUCAST v15.0 (2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 4 to 512 mg/L (PMID: 12393205)
ECO0026	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	piperacillin	-	nonwildtype	R	MIC >8 mg/L	EUCAST v15.0 (2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 2 to 32 mg/L (PMID: 12393205)
ECO0027	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	cefuroxime	-	nonwildtype	R	MIC >8 mg/L	ECOFF (May 2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 4 to 128 mg/L (PMID: 12393205)
ECO0028	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	cefoxitin	-	nonwildtype	R	MIC >16 mg/L	ECOFF (May 2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 2 to 64 mg/L (PMID: 12393205)
ECO0029	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	cefotaxime	-	nonwildtype	R	MIC >2 mg/L	EUCAST v15.0 (2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.06 to 16 mg/L (PMID: 12393205)
ECO0030	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	ceftazidime	-	nonwildtype	R	MIC >4 mg/L	EUCAST v15.0 (2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.25 to 32 mg/L (PMID: 12393205)
ECO0031	s__Escherichia coli	blaEC-3	-	WP_181203065.1	-	-	-	-	Gene presence detected	acquired	aztreonam	-	nonwildtype	R	MIC >4 mg/L	EUCAST v15.0 (2025)	12393205	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 0.06 to 16 mg/L (PMID: 12393205)
ECO0032	s__Escherichia coli	blaEC-4	-	WP_001352591.1	-	-	-	-	Gene presence detected	acquired	amoxicillin	-	nonwildtype	R	MIC >8 mg/L	EUCAST v15.0 (2025)	16801449	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 2 to >512 mg/L (PMID: 16801449)
ECO0033	s__Escherichia coli	blaEC-4	-	WP_001352591.1	-	-	-	-	Gene presence detected	acquired	piperacillin	-	wildtype	S	MIC <=8 mg/L	EUCAST v15.0 (2025)	16801449	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 2 to 8 mg/L (PMID: 16801449)
ECO0034	s__Escherichia coli	blaEC-4	-	WP_001352591.1	-	-	-	-	Gene presence detected	acquired	cefoxitin	-	nonwildtype	R	MIC >16 mg/L	ECOFF (May 2025)	16801449	ECO:0001103 natural variation mutant evidence	strong		MIC increase from 1 to 128 mg/L (PMID: 16801449)
