ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID 	evidence code	evidence grade	evidence limitations	Rule cutation note 
PSA0019	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v14.0 (2024)	9925544	ECO:0001091 knockout phenotypic evidence	strong		"ampC (blaPDC) derepression occurs by the acquistion of mutations in its major regulators genes: ampD (10681322, 16251318, 16641450), dacB (19325877) and ampR (27736752, 29029112). Leads to acquired resistance"
PSA0023	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v14.0 (2024)	11083635	ECO:0001091 knockout phenotypic evidence	strong		"ampC (blaPDC) derepression occurs by the acquistion of mutations in its major regulators genes: ampD (10681322, 16251318, 16641450), dacB (19325877) and ampR (27736752, 29029112). Leads to acquired resistance"
PSA0033	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v14.0 (2024)	"9925544,  3493236"	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	strong		"ampC (blaPDC) derepression occurs by the acquistion of mutations in its major regulators genes: ampD (10681322, 16251318, 16641450), dacB (19325877) and ampR (27736752, 29029112). Leads to acquired resistance"
PSA0072	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v14.0 (2024)	"9925544,  3493236, 2158496, 2159863"	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	strong		"ampC (blaPDC) expression is inducible by certain _-lactams (especially cefoxitin (3149885) and imipenem (3929679)), induction requires a functional AmpR (9118225). 
"
PSA0076	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	piperacillin-tazobactam	-	wildtype	I	MIC <=16 mg/L	EUCAST v14.0 (2024)	"(9925544),  (3493236), 2158496, 2159863"	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence, ECO:0000024 protein-binding evidence"	strong		"ampC (blaPDC) derepression occurs by the acquistion of mutations in its major regulators genes: ampD (10681322, 16251318, 16641450), dacB (19325877) and ampR (27736752, 29029112). Leads to acquired resistance"
PSA0020	s__Pseudomonas aeruginosa	mexA	mexA	-	AAA74436.1	NF033834.1	ARO:3000377	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v14.0 (2024)	"8540696, 11083635, 12483565, 9925544"	ECO:0001091 knockout phenotypic evidence	strong		"MexAB-OprM overexpression contributes to increased MICs  to this antibiotic but additional resistance mechanisms might be needed to reach clinical resistance.
MexAB-OprM overexpression occurs by the acquistion of mutations in its major regulators genes: mexR (8878574), nalC ( 15387820) and nalD (15855496). "
PSA0024	s__Pseudomonas aeruginosa	mexA	mexA	-	AAA74436.1	NF033834.1	ARO:3000377	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v14.0 (2024)	"8540696, 11083635, 12483565, 9925544"	ECO:0001091 knockout phenotypic evidence	strong		"MexAB-OprM overexpression contributes to increased MICs  to this antibiotic but additional resistance mechanisms might be needed to reach clinical resistance.
MexAB-OprM overexpression occurs by the acquistion of mutations in its major regulators genes: mexR (8878574), nalC ( 15387820) and nalD (15855496). "
PSA0034	s__Pseudomonas aeruginosa	mexA	mexA	-	AAA74436.1	NF033834.1	ARO:3000377	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v14.0 (2024)	"8540696, 11083635, 12483565, 9925544"	ECO:0001091 knockout phenotypic evidence	strong		"MexAB-OprM overexpression contributes to increased MICs  to this antibiotic but additional resistance mechanisms might be needed to reach clinical resistance. 
MexAB-OprM overexpression occurs by the acquistion of mutations in its major regulators genes: mexR (8878574), nalC ( 15387820) and nalD (15855496). "
PSA0049	s__Pseudomonas aeruginosa	mexA	mexA	-	AAA74436.1	NF033834.1	ARO:3000377	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v14.0 (2024)	"8226684, 8540696, 11083635, 12483565"	ECO:0001091 knockout phenotypic evidence	strong		"MexAB-OprM overexpression contributes to increased MICs to this antibiotic but additional resistance mechanisms are needed to reach clinical resistance. 
MexAB-OprM overexpression occurs by the acquistion of mutations in its major regulators genes: mexR (8878574), nalC ( 15387820) and nalD (15855496). "
PSA0073	s__Pseudomonas aeruginosa	mexA	mexA	-	AAA74436.1	NF033834.1	ARO:3000377	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v14.0 (2024)	"8540696, 11083635, 12483565, 9925544"	ECO:0001091 knockout phenotypic evidence	strong		
