ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note										
BOR0028	s__Bordetella bronchiseptica	blaBOR	blaBOR	WP_010926363.1	-	-	-	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	Expected resistant phenotype (PMID:15917575)	15917575	"ECO:0000005 enzymatic activity assay evidence, ECO:0005027 genetic transformation evidence"	strong	lacks evidence of the degree to which MIC is affected	"Wildtype core gene expected to confer resistance to penicillins. Although there are no EUCAST or CLSI human clinical breakpoints for penicillins in B. bronchiseptica and no expected resistance recorded by EUCAST, there are CLSI vetinary breakpoints and by this standard B. bronchiseptica have expected resistance which evidence (PMID:15917575) suggests is due to this gene. Additionally, while there is no formal ECOFF, the EUCAST ampicillin MIC breakpoint distribution suggests a median MIC of 8 mg/L, consistent with expected resistance. "										
BOR0003	s__Bordetella bronchiseptica	blaTEM	blaTEM-1	WP_080699425.1	-	-	-	-	Gene presence detected	acquired	ceftiofur	-	nonwildtype	R	MIC >8 mg/L	PMID:19914850	19914850	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0004	s__Bordetella bronchiseptica	floR2	floR2	WP_000214125.1	-	-	-	-	Gene presence detected	acquired	florfenicol	-	nonwildtype	R	MIC >8 mg/L	ECOFF (April 2025)	17224413	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0005	s__Bordetella bronchiseptica	sul1	sul1	WP_000259031.1	-	-	-	-	Gene presence detected	acquired	-	sulfonamide antibiotic	nonwildtype	R	not applicable	none	16046466; 26275219	ECO:0001103 natural variation mutant evidence	weak	lacks evidence for this genus	"sul1 has been found in in B. bronchiseptica strains displaying a wide range of MICs to trimethoprim/sulfamethoxazole. In other genera, sul1 typically confers resistance to sulfonamides. While there are no breakpoints for this species, B. bronchiseptica isolates carrying sul1 had trimethoprim/sulfamethoxazole MICs between ²0.015/0.3 and 2/38 _g/ml (PMID: 26275219) which supports the same interpretation in this species."										
BOR0006	s__Bordetella bronchiseptica	sul2	sul2	WP_001043260.1	-	-	-	-	Gene presence detected	acquired	-	sulfonamide antibiotic	nonwildtype	R	not applicable	none	26275219; 39669782	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	"sul1 typically confers resistance to sulfonamides in other species. In B. bronchiseptica,  while there are no breakpoints, sul2 had a statistical significant association with resistance to  trimethoprim / sulfamethoxazole when MIC >2 _g/mL was used as a cutoff (PMID:39669782). In another study, isolates containing sul2 only had a wide range of  trimethoprim/sulfamethoxazole MICs between 0.03/0.6 to 8/152 _g/ml (PMID: 26275219). Therefore, the available evidene also supports sul2 conferring resistance to sulfonamides in B. bronchiseptica."										
BOR0007	s__Bordetella bronchiseptica	aph(3'')-Ib	aph(3'')-Ib	WP_001082319.1	-	-	-	-	Gene presence detected	acquired	streptomycin	-	nonwildtype	R	MIC >128 mg/L	ECOFF (April 2025)	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence	PMID:26275219 refers to aph(3'')-Ib as strA										
BOR0008	s__Bordetella bronchiseptica	aph(6)-Id	aph(6)-Id	WP_000480968.1	-	-	-	-	Gene presence detected	acquired	streptomycin	-	nonwildtype	R	MIC >128 mg/L	ECOFF (April 2025)	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence	PMID:26275219 refers to aph(6)-Id as strB										
BOR0013	s__Bordetella bronchiseptica	tet(G)	tet(G)	WP_080700690.1	-	-	-	-	Gene presence detected	acquired	-	tetracycline antibiotic	nonwildtype	R	not applicable	none	-	ECO:0001103 natural variation mutant evidence	weak	lacks evidence for this genus	tet(G) identified in 4/103 B. bronchseptica genomes screened using AMRfinder plus. tet(G) confers tetracycline resistance in other genus but there is no direct evidence for this in B. bronchiseptica yet.										
BOR0014	s__Bordetella bronchiseptica	aph(3'')-Ib	aph(3'')-Ib	WP_001082319.1	-	-	-	-	Gene presence detected	acquired	neomycin	-	nonwildtype	R	MIC >128 mg/L	ECOFF (August 2024)	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0015	s__Bordetella bronchiseptica	aph(6)-Id	aph(6)-Id	WP_000480968.1	-	-	-	-	Gene presence detected	acquired	neomycin	-	nonwildtype	R	MIC >128 mg/L	ECOFF (August 2024)	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0016	s__Bordetella bronchiseptica	dfrA1	dfrA1	WP_071846306.1	-	-	-	-	Gene presence detected	acquired	trimethoprim	-	nonwildtype	R	MIC >64 mg/L	PMID: 16046466	16046466	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence	B. bronchiseptica strains carrying dfrA1 also carry sul1. No B. bronchiseptica strains carrying dfrA1 only has been reported in the literature to date. It is assumed that resistance to trimethroprim in strains carrying dfrA1-sul1 (PMID: 16046466) is due to dfrA1 based on results in other genus. 										
