ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note
EFM0004	s__Enterococcus_B faecium	aac(6')-I	aac(6')_Entco	WP_008265821.1	-	-	ARO:3002556	-	Gene presence detected	core	amikacin	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	moderate	lacks evidence of the degree to which MIC is affected	"21159796: Large decrease in the MICs of aminoglycosides that are substrates for AAC(6’)-Ii [ > 2-fold reduction in kanamycin, tobramycin and netilmicin MICs] was observed for the _aac(6_)-Ii strain (BM4681). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT855 (pBADΩaac(6_)-Ii )] conferred on E. coli > 4-fold increase in MIC to kanamycin, tobramycin, amikacin, and netilmicin, while gentamicin only changed 1-fold (Table 1). 8239603: Cloning of the plasmid pAT432 (containg gene aac(6')-Ii) into E. coli BM694 strain conferred resistance to amikacin, kanamycin, 2'-N-ethyl-netilmicin, netilmicin, sisomicin, and tobramycin and susceptible to gentamicin and 6'-N-ethyl-netilmicin."
EFM0005	s__Enterococcus_B faecium	aac(6')-I	aac(6')_Entco	WP_008265821.1	-	-	ARO:3002556	-	Gene presence detected	core	gentamicin	-	wildtype	S	MIC <=32 mg/L	ECOFF	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	strong		"21159796: Large decrease in the MICs of aminoglycosides that are substrates for AAC(6’)-Ii [ > 2-fold reduction in kanamycin, tobramycin and netilmicin MICs] was observed for the _aac(6_)-Ii strain (BM4681). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT855 (pBADΩaac(6_)-Ii )] conferred on E. coli > 4-fold increase in MIC to kanamycin, tobramycin, amikacin, and netilmicin, while gentamicin only changed 1-fold (Table 1). 8239603: Cloning of the plasmid pAT432 (containg gene aac(6')-Ii) into E. coli BM694 strain conferred resistance to amikacin, kanamycin, 2'-N-ethyl-netilmicin, netilmicin, sisomicin, and tobramycin and susceptible to gentamicin and 6'-N-ethyl-netilmicin."
EFM0001	s__Enterococcus_B faecium	aac(6')-I	aac(6')_Entco	WP_008265821.1	-	-	ARO:3002556	-	Gene presence detected	core	kanamycin A	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	strong		"21159796: Large decrease in the MICs of aminoglycosides that are substrates for AAC(6’)-Ii [ > 2-fold reduction in kanamycin, tobramycin and netilmicin MICs] was observed for the _aac(6_)-Ii strain (BM4681). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT855 (pBADΩaac(6_)-Ii )] conferred on E. coli > 4-fold increase in MIC to kanamycin, tobramycin, amikacin, and netilmicin, while gentamicin only changed 1-fold (Table 1). 8239603: Cloning of the plasmid pAT432 (containg gene aac(6')-Ii) into E. coli BM694 strain conferred resistance to amikacin, kanamycin, 2'-N-ethyl-netilmicin, netilmicin, sisomicin, and tobramycin and susceptible to gentamicin and 6'-N-ethyl-netilmicin."
EFM0003	s__Enterococcus_B faecium	aac(6')-I	aac(6')_Entco	WP_008265821.1	-	-	ARO:3002556	-	Gene presence detected	core	netilmicin	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	strong		"21159796: The drop in amikacin MIC in knockout strain is moderate, not as pronounced as that for other aminoglycosides. Large decrease in the MICs of aminoglycosides that are substrates for AAC(6’)-Ii [ > 2-fold reduction in kanamycin, tobramycin and netilmicin MICs] was observed for the _aac(6_)-Ii strain (BM4681). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT855 (pBADΩaac(6_)-Ii )] conferred on E. coli > 4-fold increase in MIC to kanamycin, tobramycin, amikacin, and netilmicin, while gentamicin only changed 1-fold (Table 1). 8239603: Cloning of the plasmid pAT432 (containg gene aac(6')-Ii) into E. coli BM694 strain conferred resistance to amikacin, kanamycin, 2'-N-ethyl-netilmicin, netilmicin, sisomicin, and tobramycin and susceptible to gentamicin and 6'-N-ethyl-netilmicin."
EFM0002	s__Enterococcus_B faecium	aac(6')-I	aac(6')_Entco	WP_008265821.1	-	-	ARO:3002556	-	Gene presence detected	core	tobramycin	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	strong		"no evidence that aac(6')-Ii affects gentamycin MIC according to 21159796, knock-out strain had same MIC as WT. The recombinant plasmid [pAT855 (pBADΩaac(6_)-Ii )] conferred on E. coli conferred only changed 1-fold change in gentamicin MIC (Table 1)."
EFM0009	s__Enterococcus_B faecium	efmM	-	-	AFC64318.1	-	-	-	Gene presence detected	core	amikacin	-	wildtype	R	not available	ECOFF ID	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	weak	lacks evidence of the degree to which MIC is affected	"no amikacin MIC change in knockout strain compared to WT, no evidence of contribution to intrinsic resistance. 21159796: the drop in kanymycin MIC in knockout strain is moderate, aac(6')-Ii seems to be the main determinant of kanamycin intrinsic resistance. Smaller decreases in kanamycin and tobramycin MIC [only 1-fold reduction] were observed for the _efmM strain (BM4682). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT854 (pBADΩefmM)] conferred on E. coli a 4-fold or greater increase in resistance to kanamycin and tobramycin; the MICs of amikacin, gentamicin, and netilmicin remained unchanged (Table 1)."
EFM0010	s__Enterococcus_B faecium	efmM	-	-	AFC64318.1	-	-	-	Gene presence detected	core	gentamicin	-	wildtype	S	MIC <=32 mg/L	ECOFF	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	strong		"no gentamycin MIC change in knockout strain compared to WT, no evidence of contribution to intrinsic resistance. 21159796: the drop in trobamycin MIC in knockout strain is moderate, aac(6')-Ii seems to be the main determinant of trobamycin intrinsic resistance. Smaller decreases in kanamycin and tobramycin MIC [only 1-fold reduction] were observed for the _efmM strain (BM4682). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT854 (pBADΩefmM)] conferred on E. coli a 4-fold or greater increase in resistance to kanamycin and tobramycin; the MICs of amikacin, gentamicin, and netilmicin remained unchanged (Table 1)."
EFM0006	s__Enterococcus_B faecium	efmM	-	-	AFC64318.1	-	-	-	Gene presence detected	core	kanamycin A	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	moderate	lacks evidence of the degree to which MIC is affected	"21159796: Smaller decreases in kanamycin and tobramycin MIC [only 1-fold reduction] were observed for the _efmM strain (BM4682). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT854 (pBADΩefmM)] conferred on E. coli a 4-fold or greater increase in resistance to kanamycin and tobramycin; the MICs of amikacin, gentamicin, and netilmicin remained unchanged (Table 1)."
EFM0008	s__Enterococcus_B faecium	efmM	-	-	AFC64318.1	-	-	-	Gene presence detected	core	netilmicin	-	wildtype	R	not available	ECOFF ID	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	weak	lacks evidence of the degree to which MIC is affected	"no netilmicin MIC change in knockout strain compared to WT, no evidence of contribution to intrinsic resistance. 21159796: Smaller decreases in kanamycin and tobramycin MIC [only 1-fold reduction] were observed for the _efmM strain (BM4682). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT854 (pBADΩefmM)] conferred on E. coli a 4-fold or greater increase in resistance to kanamycin and tobramycin; the MICs of amikacin, gentamicin, and netilmicin remained unchanged (Table 1)."
EFM0007	s__Enterococcus_B faecium	efmM	-	-	AFC64318.1	-	-	-	Gene presence detected	core	tobramycin	-	wildtype	R	not applicable	not applicable	"21159796, 8239603"	"ECO:0001091 knockout phenotypic evidence, ECO:0005027 genetic transformation evidence"	moderate	lacks evidence of the degree to which MIC is affected	"21159796: Smaller decreases in kanamycin and tobramycin MIC [only 1-fold reduction] were observed for the _efmM strain (BM4682). The lowest kanamycin and tobramycin MICs were observed for the double mutant E. faecium BM4683 [_aac(6_)-Ii/efmM]. The recombinant plasmid [pAT854 (pBADΩefmM)] conferred on E. coli a 4-fold or greater increase in resistance to kanamycin and tobramycin; the MICs of amikacin, gentamicin, and netilmicin remained unchanged (Table 1)."
