ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note	
ACI0001	s__Acinetobacter baumannii	blaOXA-23_fam	blaOXA-23_fam	-	-	NF000266.2	ARO:3007710	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0002	s__Acinetobacter baumannii	blaOXA-23	blaOXA-23	WP_001046004.1	-	-	ARO:3001418	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	strong		"blaOXA-23 is a core gene in Acinetobacter radioresistens and does not confer carbapenem resistance unless there is an IS element upstream that leads to overexpression. blaOXA-23 can be acquired by other Acinetobacter species and is associated with ISAba1, and carbapenem resistance."	
ACI0003	s__Acinetobacter baumannii	blaOXA-27	blaOXA-27	WP_063862443.1	-	-	ARO:3001422	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	11158758	ECO:0001103 natural variation mutant evidence	strong		"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0004	s__Acinetobacter baumannii	blaOXA-49	blaOXA-49	WP_063864111.1	-	-	ARO:3001671	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	22842601	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	No specific MIC is described in the associated paper.	
ACI0005	s__Acinetobacter baumannii	blaOXA-146	blaOXA-146	WP_063861044.1	-	-	ARO:3001779	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	23877677	ECO:0001103 natural variation mutant evidence	strong	lacks evidence of the degree to which MIC is affected		
ACI0006	s__Acinetobacter baumannii	blaOXA-165	blaOXA-165	WP_063861123.1	-	-	ARO:3001465	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0007	s__Acinetobacter baumannii	blaOXA-166	blaOXA-166	WP_063861129.1	-	-	ARO:3001466	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0008	s__Acinetobacter baumannii	blaOXA-167	blaOXA-167	WP_063861133.1	-	-	ARO:3001467	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0009	s__Acinetobacter baumannii	blaOXA-168	blaOXA-168	WP_063861136.1	-	-	ARO:3001468	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0010	s__Acinetobacter baumannii	blaOXA-169	blaOXA-169	WP_063861140.1	-	-	ARO:3001469	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0011	s__Acinetobacter baumannii	blaOXA-170	blaOXA-170	WP_063861151.1	-	-	ARO:3001470	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0012	s__Acinetobacter baumannii	blaOXA-171	blaOXA-171	WP_063861157.1	-	-	ARO:3001471	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0013	s__Acinetobacter baumannii	blaOXA-225	blaOXA-225	WP_063861820.1	-	-	ARO:3001493	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0014	s__Acinetobacter baumannii	blaOXA-239	blaOXA-239	WP_063862190.1	-	-	ARO:3001498	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0015	s__Acinetobacter baumannii	blaOXA-366	blaOXA-366	WP_063862736.1	-	-	ARO:3001553	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0016	s__Acinetobacter baumannii	blaOXA-398	blaOXA-398	WP_063862757.1	-	-	ARO:3001584	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0017	s__Acinetobacter baumannii	blaOXA-422	blaOXA-422	WP_063862828.1	-	-	ARO:3003160	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0018	s__Acinetobacter baumannii	blaOXA-423	blaOXA-423	WP_063862833.1	-	-	ARO:3003161	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0019	s__Acinetobacter baumannii	blaOXA-435	blaOXA-435	WP_063864078.1	-	-	ARO:3003162	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0020	s__Acinetobacter baumannii	blaOXA-440	blaOXA-440	WP_063864082.1	-	-	ARO:3003596	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0021	s__Acinetobacter baumannii	blaOXA-482	blaOXA-482	WP_063864108.1	-	-	ARO:3003639	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0022	s__Acinetobacter baumannii	blaOXA-483	blaOXA-483	WP_063864109.1	-	-	ARO:3003640	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0023	s__Acinetobacter baumannii	blaOXA-565	blaOXA-565	WP_085562421.1	-	-	ARO:3005789	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0024	s__Acinetobacter baumannii	blaOXA-657	blaOXA-657	WP_111672907.1	-	-	ARO:3005872	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0025	s__Acinetobacter baumannii	blaOXA-911	blaOXA-911	WP_168247884.1	-	-	ARO:3006098	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0026	s__Acinetobacter baumannii	blaOXA-1216	blaOXA-1216	WP_311033317.1	-	-	-	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0027	s__Acinetobacter baumannii	blaOXA-1223	blaOXA-1223	WP_318245554.1	-	-	-	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0028	s__Acinetobacter baumannii	blaOXA-1241	blaOXA-1241	WP_367187965.1	-	-	-	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0029	s__Acinetobacter baumannii	blaOXA-24_fam	blaOXA-24_fam	-	-	NF000434.2	ARO:3007711	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	strong		Phenotype of this gene family inferred from MICs of several members.	
ACI0030	s__Acinetobacter baumannii	blaOXA-24	blaOXA-24	WP_012754353.1	-	-	ARO:3001419	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	"12499201, 10817708, 21041501"	ECO:0001103 natural variation mutant evidence	strong		MIC 256 mg/L (imipenem) ; MIC 256 mg/L (meropenem) 	
ACI0031	s__Acinetobacter baumannii	blaOXA-72	blaOXA-72	WP_000713530.1	-	-	ARO:3001705	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	"17846127, 21041501"	ECO:0001103 natural variation mutant evidence	strong		MIC 16 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
ACI0032	s__Acinetobacter baumannii	blaOXA-58_fam	blaOXA-58_fam	-	-	NF000500.2	ARO:3007728	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	strong		Phenotype of this gene family inferred from MICs of several members.	
ACI0033	s__Acinetobacter baumannii	blaOXA-58	blaOXA-58	WP_002002480.1	-	-	ARO:3001611	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	15616297	ECO:0001103 natural variation mutant evidence	strong		MIC 32 mg/L (imipenem) ; MIC >64 mg/L (meropenem) 	
ACI0034	s__Acinetobacter baumannii	blaOXA-96	blaOXA-96	WP_063864543.1	-	-	ARO:3001631	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	17284537	ECO:0001103 natural variation mutant evidence	strong		MIC 16 mg/L (imipenem)	
ACI0035	s__Acinetobacter baumannii	blaOXA-97	blaOXA-97	WP_063864544.1	-	-	ARO:3001647	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	18299404	ECO:0001103 natural variation mutant evidence	strong		MIC 32 mg/L (imipenem) ; MIC 16 mg/L (meropenem) 	
ACI0036	s__Acinetobacter baumannii	blaOXA-164	blaOXA-164	WP_063861121.1	-	-	ARO:3001662	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	20921306	ECO:0001103 natural variation mutant evidence	strong		MIC 8...>=16 mg/L (imipenem) ; MIC 2...8 mg/L (meropenem) (Vitek2) ; MIC 32 mg/L (imipenem) ; MIC 8...32 mg/L (meropenem) (Etest)	
ACI0037	s__Acinetobacter baumannii	blaOXA-235	blaOXA-235	WP_000854009.1	-	-	ARO:3001676	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	23439638	ECO:0001103 natural variation mutant evidence	strong		MIC >=16 mg/L (imipenem) ; MIC >=16 mg/L (meropenem) 	
ACI0038	s__Acinetobacter baumannii	blaOXA-236	blaOXA-236	WP_063862170.1	-	-	ARO:3001677	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	23439638	ECO:0001103 natural variation mutant evidence	strong		MIC >=16 mg/L (imipenem) ; MIC >=16 mg/L (meropenem) 	
ACI0039	s__Acinetobacter baumannii	blaOXA-237	blaOXA-237	WP_000854010.1	-	-	ARO:3001678	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	23439638	ECO:0001103 natural variation mutant evidence	strong		MIC >=16 mg/L (imipenem) ; MIC >=16 mg/L (meropenem) 	
ACI0041	s__Acinetobacter baumannii	blaOXA-143_fam	blaOXA-143_fam	-	-	NF000464.2	ARO:3007701	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	strong		Phenotype of this gene family inferred from MICs of several members.	
ACI0042	s__Acinetobacter baumannii	blaOXA-143	blaOXA-143	WP_063861042.1	-	-	ARO:3001654	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	19770279	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
ACI0043	s__Acinetobacter baumannii	blaOXA-182	blaOXA-182	WP_063861266.1	-	-	ARO:3001709	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	20884158	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	Phenotype of this gene in Acinetobacter baumannii inferred from the other members of the family.	
ACI0044	s__Acinetobacter baumannii	blaOXA-231	blaOXA-231	WP_063862128.1	-	-	ARO:3001670	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	"22736746
24566181"	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
ACI0045	s__Acinetobacter baumannii	blaOXA-253	blaOXA-253	WP_032495764.1	-	-	ARO:3001689	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	24566181	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
ACI0046	s__Acinetobacter baumannii	blaNDM	blaNDM	-	-	NF000259.2	ARO:3000057	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	Phenotype of this gene family inferred from MICs of several members.	
ACI0047	s__Acinetobacter baumannii	blaNDM-1	blaNDM-1	WP_004201164.1	-	-	ARO:3000589	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	21693460	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
