ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note	Reviewed by
STA0001	s__Staphylococcus aureus	unknown	-	-	-	-	-	-		core	ceftazidime	-	wildtype	R	not applicable	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01)"	6413485				"Wildtype resistance, but no mechanism described. Most likely is due to the wildtype sequence of PBP3 (primary target of ceftazidime), for which ceftazidime has low affinity."	"NC, SLB"
STA0002	s__Staphylococcus aureus	tet(38)	tet(38)	-	-	NF012176.0	ARO:3000565	-	Gene presence detected	core	tetracycline	-	wildtype	S	MIC <=1 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01); CLSI M100Ed35E"	29216347	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0003	s__Staphylococcus aureus	mepA	mepA	-	-	NF000131.1	ARO:3000026	-	Gene presence detected	core	tigecycline	-	wildtype	S	MIC <=0.5 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01)"	37432114	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0004	s__Staphylococcus aureus	norA	-	-	BAA14147.1	-	ARO:3004667	-	Gene presence detected	core	-	fluoroquinolone antibiotic	wildtype	S	not applicable	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01); CLSI M100Ed35E"	8517696	ECO:0001103 natural variation mutant evidence	strong		"Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.The rule is being defined for the whole class on the basis of specific evidence for a subset of drugs, not all drugs have direct evidence but as they are not expected resistances the rule is assumed to apply class-wide."	"NC, SLB"
STA0006	s__Staphylococcus aureus	norA	-	-	BAA14147.1	-	ARO:3004667	-	Gene presence detected	core	norfloxacin	-	wildtype		MIC <=4 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); ECOFF (2025-4-17); CLSI M100Ed35E"	8517696	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0007	s__Staphylococcus aureus	norB	-	-	CCQ22388.1	-	ARO:3000421	-	Gene presence detected	core	-	fluoroquinolone antibiotic	wildtype	S	not applicable	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01); CLSI M100Ed35E"	18723624	ECO:0001103 natural variation mutant evidence	strong		"Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.The rule is being defined for the whole class on the basis of specific evidence for a subset of drugs, not all drugs have direct evidence but as they are not expected resistances the rule is assumed to apply class-wide."	"NC, SLB"
STA0009	s__Staphylococcus aureus	norB	-	-	CCQ22388.1	-	ARO:3000421	-	Gene presence detected	core	norfloxacin	-	wildtype	S	MIC <=4 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01) + ECOFF (2025-4-17); CLSI M100Ed35E"	18723624	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0010	s__Staphylococcus aureus	norB	-	-	CCQ22388.1	-	ARO:3000421	-	Gene presence detected	core	moxifloxacin	-	wildtype	S	MIC <=0.25 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01); CLSI M100Ed35E"	18723624	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0011	s__Staphylococcus aureus	norB	-	-	CCQ22388.1	-	ARO:3000421	-	Gene presence detected	core	sparfloxacin	-	wildtype	S	MIC <=0.5 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); CLSI M100Ed35E"	18723624	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
STA0012	s__Staphylococcus aureus	norB	-	-	CCQ22388.1	-	ARO:3000421	-	Gene presence detected	core	tetracycline	-	wildtype	S	MIC <=1 mg/L	"Expected resistant phenotypes v1.2 (13 January, 2023); EUCAST v15.0 (2025-01-01) + ECOFF (2025-4-17); CLSI M100Ed35E"	18723624	ECO:0001103 natural variation mutant evidence	strong		Wildtype core gene encoding an efflux pump. This efflux pump is not associated with clinical resistance in this species unless efflux activity is upregulated.	"NC, SLB"
