ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note
EFC0001	s__Enterococcus faecalis	pbp4	-	WP_070676928.1	-	-	-	-	Gene presence detected	core	ceftriaxone	-	wildtype	R	not applicable	not applicable	"32041714, 14973044"	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	strong		"The native pbp5 sequence in E. faecalis is responsible for intrinsic cephalosporin resistance, mutations in this protein are known to alter beta-lactam resistance profiles, e.g. increase resistance to ampicillin. In Enterococcus faecalis, class B PBP5 mediates intrinsic resistance to the cephalosporin class of _-lactam antibiotics. According to 32041714, ""As expected (15), the _pbp5 mutant exhibited a substantial loss of resistance to cephalosporins, including representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins (cefuroxime, ceftriaxone, cefepime, and ceftaroline, respectively; Table 1)."" 14973044: ""E. faecalis JH2-2 was highly resistant to the expanded-spectrum cephalosporin ceftriaxone, and deletion of pbp5 led to a 4,000-fold reduction in the MIC of this drug (Table 2). [...] The pbp5 gene of E. faecalis JH2-2 cloned under the control of the aphA-3p promoter of the shuttle vector pNJ2 (Fig. 1B) restored wild-type _-lactam resistance in JH2-2 _pbp5."""
EFC0002	s__Enterococcus faecalis	pbp4	-	WP_070676928.1	-	-	-	-	Gene presence detected	core	cefuroxime	-	wildtype	R	not applicable	not applicable	"32041714, 14973044"	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	strong		"The native pbp5 sequence in E. faecalis is responsible for intrinsic cephalosporin resistance, mutations in this protein are known to alter beta-lactam resistance profiles, e.g. increase resistance to ampicillin. In Enterococcus faecalis, class B PBP5 mediates intrinsic resistance to the cephalosporin class of _-lactam antibiotics. According to 32041714, ""As expected (15), the _pbp5 mutant exhibited a substantial loss of resistance to cephalosporins, including representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins (cefuroxime, ceftriaxone, cefepime, and ceftaroline, respectively; Table 1)."" 14973044: ""E. faecalis JH2-2 was highly resistant to the expanded-spectrum cephalosporin ceftriaxone, and deletion of pbp5 led to a 4,000-fold reduction in the MIC of this drug (Table 2). [...] The pbp5 gene of E. faecalis JH2-2 cloned under the control of the aphA-3p promoter of the shuttle vector pNJ2 (Fig. 1B) restored wild-type _-lactam resistance in JH2-2 _pbp5."""
EFC0003	s__Enterococcus faecalis	pbp4	-	WP_070676928.1	-	-	-	-	Gene presence detected	core	cefepime	-	wildtype	R	not applicable	not applicable	"32041714, 14973044"	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	strong		"The native pbp5 sequence in E. faecalis is responsible for intrinsic cephalosporin resistance, mutations in this protein are known to alter beta-lactam resistance profiles, e.g. increase resistance to ampicillin. In Enterococcus faecalis, class B PBP5 mediates intrinsic resistance to the cephalosporin class of _-lactam antibiotics. According to 32041714, ""As expected (15), the _pbp5 mutant exhibited a substantial loss of resistance to cephalosporins, including representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins (cefuroxime, ceftriaxone, cefepime, and ceftaroline, respectively; Table 1)."" 14973044: ""E. faecalis JH2-2 was highly resistant to the expanded-spectrum cephalosporin ceftriaxone, and deletion of pbp5 led to a 4,000-fold reduction in the MIC of this drug (Table 2). [...] The pbp5 gene of E. faecalis JH2-2 cloned under the control of the aphA-3p promoter of the shuttle vector pNJ2 (Fig. 1B) restored wild-type _-lactam resistance in JH2-2 _pbp5."""
EFC0004	s__Enterococcus faecalis	pbp4	-	WP_070676928.1	-	-	-	-	Gene presence detected	core	ceftaroline	-	wildtype	R	not applicable	not applicable	"32041714, 14973044"	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	strong		"The native pbp5 sequence in E. faecalis is responsible for intrinsic cephalosporin resistance, mutations in this protein are known to alter beta-lactam resistance profiles, e.g. increase resistance to ampicillin. In Enterococcus faecalis, class B PBP5 mediates intrinsic resistance to the cephalosporin class of _-lactam antibiotics. According to 32041714, ""As expected (15), the _pbp5 mutant exhibited a substantial loss of resistance to cephalosporins, including representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins (cefuroxime, ceftriaxone, cefepime, and ceftaroline, respectively; Table 1)."" 14973044: ""E. faecalis JH2-2 was highly resistant to the expanded-spectrum cephalosporin ceftriaxone, and deletion of pbp5 led to a 4,000-fold reduction in the MIC of this drug (Table 2). [...] The pbp5 gene of E. faecalis JH2-2 cloned under the control of the aphA-3p promoter of the shuttle vector pNJ2 (Fig. 1B) restored wild-type _-lactam resistance in JH2-2 _pbp5."""
EFC0005	s__Enterococcus faecalis	pbpA	-	-	AEA94845.1	-	-	-	Gene presence detected	core	ceftriaxone	-	wildtype	R	not applicable	not applicable	32041714	ECO:0001091 knockout phenotypic evidence	strong		"32041714: ""Analysis of the _pbpA mutants from both lineages of E. faecalis revealed a substantial loss of resistance to representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins, similar to the phenotype of the _pbp5 mutant, that was complemented by ectopic expression of pbpA (Table 1). Immunoblotting verified that the defect of the _pbpA mutant is not due to loss of Pbp5(4) expression in the _pbpA mutant (Fig. S4), indicating that both bPBPs are therefore required for enterococcal cephalosporin resistance. As with the _pbp5 mutant, the defects of the _pbpA mutant were largely specific to cephalosporins, as no changes in resistance were observed for ampicillin, bacitracin, or gentamicin."""
EFC0006	s__Enterococcus faecalis	pbpA	-	-	AEA94845.1	-	-	-	Gene presence detected	core	cefuroxime	-	wildtype	R	not applicable	not applicable	32041714	ECO:0001091 knockout phenotypic evidence	strong		"32041714: ""Analysis of the _pbpA mutants from both lineages of E. faecalis revealed a substantial loss of resistance to representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins, similar to the phenotype of the _pbp5 mutant, that was complemented by ectopic expression of pbpA (Table 1). Immunoblotting verified that the defect of the _pbpA mutant is not due to loss of Pbp5(4) expression in the _pbpA mutant (Fig. S4), indicating that both bPBPs are therefore required for enterococcal cephalosporin resistance. As with the _pbp5 mutant, the defects of the _pbpA mutant were largely specific to cephalosporins, as no changes in resistance were observed for ampicillin, bacitracin, or gentamicin."""
EFC0007	s__Enterococcus faecalis	pbpA	-	-	AEA94845.1	-	-	-	Gene presence detected	core	cefepime	-	wildtype	R	not applicable	not applicable	32041714	ECO:0001091 knockout phenotypic evidence	strong		"32041714: ""Analysis of the _pbpA mutants from both lineages of E. faecalis revealed a substantial loss of resistance to representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins, similar to the phenotype of the _pbp5 mutant, that was complemented by ectopic expression of pbpA (Table 1). Immunoblotting verified that the defect of the _pbpA mutant is not due to loss of Pbp5(4) expression in the _pbpA mutant (Fig. S4), indicating that both bPBPs are therefore required for enterococcal cephalosporin resistance. As with the _pbp5 mutant, the defects of the _pbpA mutant were largely specific to cephalosporins, as no changes in resistance were observed for ampicillin, bacitracin, or gentamicin."""
EFC0008	s__Enterococcus faecalis	pbpA	-	-	AEA94845.1	-	-	-	Gene presence detected	core	ceftaroline	-	wildtype	R	not applicable	not applicable	32041714	ECO:0001091 knockout phenotypic evidence	strong		"32041714: ""Analysis of the _pbpA mutants from both lineages of E. faecalis revealed a substantial loss of resistance to representative 2nd-, 3rd-, 4th-, and 5th-generation cephalosporins, similar to the phenotype of the _pbp5 mutant, that was complemented by ectopic expression of pbpA (Table 1). Immunoblotting verified that the defect of the _pbpA mutant is not due to loss of Pbp5(4) expression in the _pbpA mutant (Fig. S4), indicating that both bPBPs are therefore required for enterococcal cephalosporin resistance. As with the _pbp5 mutant, the defects of the _pbpA mutant were largely specific to cephalosporins, as no changes in resistance were observed for ampicillin, bacitracin, or gentamicin."""
EFC0009	s__Enterococcus faecalis	pbpF	-	-	AAO80501.1	-	-	-	Gene presence detected	core	ceftriaxone	-	wildtype	R	not applicable	not applicable	19304851	ECO:0001091 knockout phenotypic evidence	strong		"Pbp5 is the main determinant of cephalosporin resistance in E. faecalis but it needs to cooperate with the glycosyltransferase domain of specific class A PBPs (PbpF or PonA) for peptidoglycan polymerization in the presence of cephalosporins (i.e. resistance phenotype). 14973044: ""Single deletion of any of the three class A PBP genes of E. faecalis (ponA, pbpF, or pbpZ) had no impact on the MICs of _-lactam antibiotics (Table 2). Among the three combinations of double deletions, only the deletion of ponA and pbpF resulted in a large decrease (1,000-fold) in ceftriaxone resistance. Thus, either ponA or pbpF was required for intrinsic ceftriaxone resistance mediated by PBP5."""
EFC0010	s__Enterococcus faecalis	ponA	-	-	AAO80948.1	-	-	-	Gene presence detected	core	ceftriaxone	-	wildtype	R	not applicable	not applicable	19304851	ECO:0001091 knockout phenotypic evidence	strong		"Pbp5 is the main determinant of cephalosporin resistance in E. faecalis but it needs to cooperate with the glycosyltransferase domain of specific class A PBPs (PbpF or PonA) for peptidoglycan polymerization in the presence of cephalosporins (i.e. resistance phenotype). 14973044: ""Single deletion of any of the three class A PBP genes of E. faecalis (ponA, pbpF, or pbpZ) had no impact on the MICs of _-lactam antibiotics (Table 2). Among the three combinations of double deletions, only the deletion of ponA and pbpF resulted in a large decrease (1,000-fold) in ceftriaxone resistance. Thus, either ponA or pbpF was required for intrinsic ceftriaxone resistance mediated by PBP5."""
